French,English
partie,part
histoire,history
chercher,search
aide,help
demande,request
genre,kind
laisser,let
car,because
aucun,no
ville,city
chaque,each
parlé,speak
arrivé,come
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
pourrais,could
affaire,case
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
perdu,lost
première,first
côté,side
vieux,old
sois,be
tellement,so much
enfant,child
point,point
venez,come
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
dirait,would say
terre,Earth
donne,given
fin,end
chérie,sweetheart
gros,large
aura,will have
bureau,office
